stimulus_type,stimulus_name,face,music,odor,hedo_rt,hedo,emo_rt,emo,fam_rt,fam,compl_rt,compl,subject,hedo_scaled,hedo_zscore,emo_scaled,emo_zscore,fam_scaled,fam_zscore,compl_scaled,compl_zscore,version
music,M07,,M07,,1286.0,-61.0,1256.0,200.0,2659.0,206.0,2912.0,283.0,S03-CBS,3.78,-0.6715633641781757,4.0,-0.4659827477215544,4.12,-0.2865749785219592,5.659999999999999,0.1612388614885038,1.0
face,V14,V14,,,2076.0,217.0,1504.0,386.0,1399.0,378.0,1166.0,290.0,S03-CBS,9.34,1.4776144394276542,7.720000000000001,1.467515809105076,7.56,1.0073415664043308,5.8,0.2233220314785767,1.0
face,V16,V16,,,980.0,58.0,1573.0,275.0,1831.0,265.0,1312.0,268.0,S03-CBS,6.16,0.248408429451658,5.5,0.3136537671278933,5.300000000000001,0.1572684874701984,5.36,0.0282034972240617,1.0
odor,4,,,4.0,1784.0,48.0,2031.0,196.0,2931.0,221.0,2239.0,230.0,S03-CBS,5.96,0.1710998753651173,3.92,-0.5075633618468582,4.42,-0.1737334193714106,4.6000000000000005,-0.3088194255791913,1.0
odor,15,,,15.0,2459.0,130.0,1440.0,261.0,1729.0,272.0,1602.0,204.0,S03-CBS,7.6,0.8050300188747508,5.220000000000001,0.1681216176893297,5.44,0.2099278817404544,4.08,-0.5394140569708908,1.0
face,V08,V08,,,1909.0,39.0,3334.0,310.0,1766.0,313.0,1727.0,392.0,S03-CBS,5.779999999999999,0.1015221766872307,6.2,0.6774841407243022,6.26,0.5183614767519538,7.84,1.1279625084767826,1.0
music,M05,,M05,,1627.0,-179.0,1804.0,60.0,1139.0,53.0,2764.0,255.0,S03-CBS,1.42,-1.5838043023993558,1.2,-1.9213042421071904,1.06,-1.4375588818575544,5.1,-0.0870938184717879,1.0
face,V17,V17,,,1517.0,78.0,1323.0,290.0,1089.0,300.0,2348.0,289.0,S03-CBS,6.5600000000000005,0.4030255376247393,5.8,0.4695810700977828,6.0,0.4205654588214784,5.779999999999999,0.2144530071942806,1.0
odor,18,,,18.0,876.0,191.0,2103.0,356.0,1180.0,356.0,1487.0,272.0,S03-CBS,8.82,1.2766121988026486,7.119999999999999,1.1556612031652969,7.119999999999999,0.8418406129835263,5.44,0.0636795943612463,1.0
music,M14,,M14,,1404.0,192.0,1954.0,409.0,2789.0,263.0,2800.0,198.0,S03-CBS,8.84,1.2843430542113028,8.18,1.7066043403255733,5.26,0.1422229462501253,3.96,-0.5926282026766677,1.0
odor,6,,,6.0,2016.0,-73.0,1339.0,217.0,748.0,364.0,2689.0,282.0,S03-CBS,3.54,-0.7643336290820246,4.34,-0.2892651376890129,7.279999999999999,0.9020227778638188,5.64,0.1523698372042076,1.0
odor,3,,,3.0,2759.0,-9.0,1919.0,298.0,1227.0,313.0,1728.0,366.0,S03-CBS,4.82,-0.2695588829281644,5.96,0.5527422983483906,6.26,0.5183614767519538,7.32,0.897367877085083,1.0
odor,2,,,2.0,792.0,191.0,1028.0,392.0,1498.0,376.0,1470.0,284.0,S03-CBS,8.82,1.2766121988026486,7.84,1.5298867302930317,7.52,0.9922960251842576,5.68,0.1701078857727999,1.0
music,M11,,M11,,1903.0,42.0,1046.0,210.0,1162.0,358.0,2233.0,190.0,S03-CBS,5.84,0.1247147429131929,4.2,-0.3620312124082947,7.16,0.8568861542035995,3.8,-0.6635803969510368,1.0
odor,5,,,5.0,959.0,-222.0,3398.0,229.0,2365.0,49.0,1165.0,49.0,S03-CBS,0.56,-1.9162310849714803,4.58,-0.1645232953131012,0.98,-1.4676499642977006,0.98,-1.914112821036792,1.0
face,V07,V07,,,2160.0,-121.0,1975.0,152.0,4379.0,264.0,,,S03-CBS,2.58,-1.13541468869742,3.04,-0.964950117225201,5.28,0.1497457168601619,,,1.0
odor,17,,,17.0,2317.0,79.0,1046.0,315.0,2600.0,445.0,2031.0,220.0,S03-CBS,6.58,0.4107563930333934,6.3,0.7294599083809321,8.9,1.511367197276781,4.4,-0.3975096684221527,1.0
