subjects,music,face,odor,allmod,cr,fa,hit,miss,HR,FR,d_prime
S19-BCS,-0.1482911762098342,0.1435468300366984,-0.2227025991027844,-0.07581564842530672,24.0,3.0,19.0,8.0,0.6964285714285714,0.125,2.7762584511287436
S19-CBS,0.1651004119464469,-0.0738881381462194,0.0479902282242373,0.04640083400815492,25.0,2.0,22.0,5.0,0.8035714285714286,0.08928571428571429,3.7311549372621746
S20-SCB,-0.2385734537605442,-0.3900366874269078,-0.0906571752318191,-0.23975577213975705,27.0,0.0,22.0,5.0,0.8035714285714286,0.017857142857142856,5.41610040220442
S20b-SCB,-0.2145983522142121,-0.0469906663348833,-0.2247988166813083,-0.16212927841013455,24.0,3.0,26.0,1.0,0.9464285714285714,0.125,4.817589773939325
S21-CBS,0.0563815409547807,0.1118548084951461,-0.1072533288501412,0.020327673533261866,26.0,1.0,27.0,0.0,0.9821428571428571,0.05357142857142857,6.87901281011648
S21b-CBS,-0.0374565584258774,-0.2106719876416065,-0.2019968736712272,-0.15004180657957036,18.0,9.0,16.0,11.0,0.5892857142857143,0.3392857142857143,1.0274922790151144
S22-CSB,0.2180238176386985,0.0722193614830072,0.1479572711938958,0.14606681677186717,19.0,8.0,24.0,3.0,0.875,0.30357142857142855,2.7762584511287436
S23-SBC,0.1525489186405767,0.0576687907482688,0.0714516953575178,0.09388980158212111,22.0,5.0,26.0,1.0,0.9464285714285714,0.19642857142857142,4.2804468418559605
S23-SCB,-0.1320718288118836,0.0124219605071605,-0.2040975473602546,-0.10791580522165922,23.0,4.0,26.0,1.0,0.9464285714285714,0.16071428571428573,4.524602649257851
S24-SCB,0.1872827921293874,-0.0601828012358393,0.1955122685860507,0.10753741982653293,26.0,1.0,24.0,3.0,0.875,0.05357142857142857,4.817589773939326
S25-BCS,-0.0698976637864062,-0.0465400709042748,0.0394203082547165,-0.025672475478654835,20.0,7.0,23.0,4.0,0.8392857142857143,0.26785714285714285,2.658444889975937
S26-BSC,0.1278403607412031,-0.2167589154267274,0.212560485687197,0.04121397700055756,25.0,2.0,27.0,0.0,0.9821428571428571,0.08928571428571429,6.329720905522693
S27-CBS,-0.3502381287862978,0.0011584502605941,-0.1005353727999731,-0.1498716837752256,25.0,2.0,20.0,7.0,0.7321428571428571,0.08928571428571429,3.3279095858923227
S28-CSB,-0.2624702328922326,-0.2459934355355844,0.2232756700888218,-0.0950626661129984,23.0,4.0,23.0,4.0,0.8392857142857143,0.16071428571428573,3.305846048747678
S29-SBC,-0.1920453098673856,-0.1723738414006179,-0.0122391201311011,-0.12555275713303485,22.0,5.0,22.0,5.0,0.8035714285714286,0.19642857142857142,2.817534433943899
S30-SCB,-0.2675077239958805,0.1708290422245108,-0.213811863013677,-0.10349684826168222,24.0,3.0,24.0,3.0,0.875,0.125,3.8918202981106265
S31-CSB,-0.2529771488987555,-0.0146746476457648,0.13108537499736,-0.045522140515720094,22.0,5.0,23.0,4.0,0.8392857142857143,0.19642857142857142,3.0616902413457887
S33-CBS,-0.0101692733685563,0.0669412976313079,0.1311389457068909,0.06263698998988083,24.0,4.0,26.0,0.0,0.9464285714285714,0.16071428571428573,4.524602649257851
